[2026-03-05 08:16:37 INF] Background worker service is starting.
[2026-03-05 08:16:39 INF] JobLockStart
[2026-03-05 08:16:39 INF] JobStart
[2026-03-05 08:16:39 INF] AdmissionsQuotaStatusJob
[2026-03-05 08:16:39 INF] JobCompleteStart
[2026-03-05 08:16:39 INF] JobCompleteDone
[2026-03-05 08:16:39 INF] JobLockDone
[2026-03-05 08:16:39 INF] JobTriggerUsableStart
[2026-03-05 08:16:39 INF] JobUsableStart
[2026-03-05 08:16:39 INF] AdmissionsQuotaStatusJob
[2026-03-05 08:16:39 INF] JobDone
[2026-03-05 08:16:39 INF] JobUsableNoData
[2026-03-05 08:16:39 INF] JobTriggerUsableDone
[2026-03-05 08:16:48 INF] Request: DeleteRefreshTokenCommand (3 ms) {"UserName":null,"$type":"DeleteRefreshTokenCommand"} | User: - | IP: 127.0.0.1 | Path: /api/RegalEduManagement/auth/logout
[2026-03-05 08:16:49 INF] User [admin@regaledu.vn] logged in the system.
[2026-03-05 08:16:49 INF] Request: GetUserLoginResultQuery (872 ms) {"UserName":"admin@regaledu.vn","Password":"Admin@123","RememberMe":true,"$type":"GetUserLoginResultQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/auth/login
[2026-03-05 08:16:51 INF] Request: GetNotificationsQuery (56 ms) {"UserId":"980a03f3-2de2-4ed2-af65-08de7995940a","Page":1,"PageSize":10,"$type":"GetNotificationsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/Notification/GetNotifications
[2026-03-05 08:17:00 INF] Request: GetAllEventsQuery (32 ms) {"$type":"GetAllEventsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/event/GetAllEvents
[2026-03-05 08:17:08 WRN] The query uses the 'First'/'FirstOrDefault' operator without 'OrderBy' and filter operators. This may lead to unpredictable results.
[2026-03-05 08:17:08 INF] Request: GenerateCodeQuery (29 ms) {"GenerateCodeRequest":{"Prefix":"SK","TableName":"Event","ColumnName":"EventCode","Length":4,"Format":null,"Year":0,"Month":0,"$type":"GenerateCodeRequest"},"$type":"GenerateCodeQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/common/GenerateCode
[2026-03-05 08:18:47 WRN] Long Running Request: GetAllReceiptsQuery (1047 ms) {"$type":"GetAllReceiptsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/Receipt/GetAllReceipts
[2026-03-05 08:18:57 INF] Request: GetPagedCoursesQuery (113 ms) {"CourseQuery":{"CourseCode":null,"CourseName":null,"CourseStatus":null,"Page":1,"PageSize":30,"Status":null,"$type":"CourseQuery"},"$type":"GetPagedCoursesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/course/GetPagedCourses
[2026-03-05 08:18:57 INF] Request: GetAllCompaniesQuery (138 ms) {"$type":"GetAllCompaniesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/company/GetAllCompanies
[2026-03-05 08:18:57 INF] Request: GetAllCouponTypesQuery (147 ms) {"$type":"GetAllCouponTypesQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/CouponType/GetAllCouponTypes
[2026-03-05 08:18:57 INF] Request: GetAllStudentsQuery (469 ms) {"$type":"GetAllStudentsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/student/GetAllStudents
[2026-03-05 08:18:57 INF] Request: GetAllStudentsQuery (469 ms) {"$type":"GetAllStudentsQuery"} | User: -admin@regaledu.vn | IP: 127.0.0.1 | Path: /api/RegalEduManagement/student/GetAllStudents
